iter	Passed	Remaining
404	9271	13621
405	9293	13597
406	9316	13574
407	9339	13550
408	9360	13525
409	9382	13501
410	9405	13478
411	9426	13453
412	9447	13427
413	9468	13401
414	9489	13376
415	9510	13351
416	9531	13325
417	9554	13303
418	9576	13279
419	9597	13254
420	9618	13228
421	9641	13205
422	9662	13180
423	9685	13158
424	9707	13133
425	9728	13108
426	9749	13082
427	9769	13056
428	9790	13030
429	9812	13006
430	9835	12984
431	9856	12958
432	9879	12936
433	9903	12915
434	9926	12892
435	9948	12868
436	9970	12845
437	9990	12818
438	10011	12794
439	10033	12770
440	10054	12744
441	10074	12718
442	10096	12694
443	10118	12670
444	10141	12647
445	10161	12622
446	10183	12598
447	10206	12576
448	10227	12551
449	10250	12528
450	10271	12503
451	10294	12481
452	10315	12455
453	10337	12432
454	10358	12407
455	10383	12387
456	10405	12363
457	10426	12338
458	10448	12314
459	10470	12290
460	10489	12264
461	10512	12242
462	10534	12218
463	10555	12193
464	10578	12170
465	10599	12145
466	10621	12122
467	10643	12098
468	10666	12076
469	10687	12051
470	10708	12027
471	10730	12003
472	10750	11978
473	10772	11954
474	10796	11932
475	10817	11908
476	10840	11885
477	10863	11863
478	10886	11840
479	10907	11816
480	10927	11790
481	10949	11767
482	10970	11742
483	10991	11717
484	11011	11692
485	11033	11669
486	11053	11644
487	11076	11621
488	11099	11599
489	11124	11578
490	11145	11554
491	11166	11530
492	11189	11507
493	11210	11482
494	11233	11460
495	11254	11436
496	11277	11413
497	11299	11389
498	11322	11367
499	11343	11343
500	11367	11321
501	11391	11300
502	11411	11275
503	11435	11253
504	11455	11228
505	11475	11203
506	11495	11177
507	11517	11154
508	11537	11129
509	11557	11104
510	11578	11080
511	11600	11057
512	11622	11033
513	11646	11011
514	11668	10988
515	11691	10966
516	11711	10941
517	11733	10918
518	11753	10893
519	11774	10868
520	11797	10846
521	11819	10823
522	11841	10799
523	11863	10776
524	11887	10755
525	11909	10732
526	11932	10709
527	11953	10685
528	11973	10660
529	11993	10636
530	12016	10613
531	12037	10589
532	12057	10564
533	12079	10541
534	12103	10520
535	12125	10496
536	12146	10472
537	12167	10448
538	12189	10425
539	12211	10402
540	12233	10378
541	12255	10356
542	12275	10331
543	12299	10310
544	12325	10289
545	12350	10269
546	12371	10245
547	12392	10221
548	12411	10195
549	12433	10172
550	12454	10148
551	12473	10123
552	12496	10101
553	12519	10078
554	12539	10054
555	12561	10030
556	12583	10007
557	12604	9984
558	12627	9961
559	12648	9938
560	12670	9915
561	12691	9891
562	12710	9865
563	12730	9841
564	12750	9816
565	12772	9794
566	12794	9771
567	12815	9746
568	12836	9723
569	12858	9700
570	12880	9677
571	12901	9653
572	12924	9631
573	12943	9606
574	12964	9582
575	12984	9558
576	13005	9534
577	13025	9510
578	13048	9488
579	13071	9465
580	13094	9443
581	13115	9419
582	13136	9396
583	13158	9373
584	13180	9350
585	13204	9329
586	13224	9304
587	13246	9281
588	13268	9258
589	13289	9235
590	13311	9212
591	13336	9191
592	13358	9168
593	13378	9144
594	13401	9121
595	13421	9098
596	13441	9073
597	13462	9050
598	13484	9027
599	13505	9003
600	13525	8979
601	13546	8956
602	13568	8933
603	13594	8912
604	13616	8890
605	13638	8867
606	13660	8844
607	13679	8819
608	13701	8796
609	13720	8772
610	13742	8749
611	13764	8726
612	13786	8703
613	13808	8680
614	13828	8656
615	13850	8633
616	13871	8610
617	13896	8589
618	13919	8567
619	13938	8542
620	13959	8519
621	13981	8496
622	14003	8473
623	14025	8451
624	14048	8429
625	14072	8407
626	14097	8386
627	14122	8365
628	14147	8344
629	14173	8324
630	14198	8303
631	14222	8281
632	14245	8259
633	14272	8239
634	14296	8217
635	14321	8196
636	14342	8173
637	14363	8150
638	14385	8126
639	14406	8103
640	14426	8079
641	14451	8058
642	14473	8035
643	14493	8012
644	14514	7988
645	14537	7966
646	14558	7942
647	14581	7920
648	14603	7897
649	14627	7876
650	14647	7852
651	14670	7830
652	14693	7807
653	14715	7785
654	14740	7763
655	14761	7740
656	14783	7717
657	14804	7694
658	14826	7672
659	14848	7649
660	14872	7627
661	14894	7604
662	14916	7582
663	14938	7559
664	14960	7536
665	14983	7514
666	15006	7491
667	15027	7468
668	15050	7446
669	15071	7423
670	15093	7400
671	15114	7377
672	15137	7354
673	15160	7332
674	15181	7309
675	15203	7287
676	15226	7264
677	15246	7241
678	15270	7219
679	15293	7196
680	15313	7173
681	15334	7149
682	15355	7127
683	15377	7104
684	15398	7080
685	15418	7057
686	15441	7035
687	15465	7013
688	15486	6990
689	15507	6967
690	15526	6943
691	15548	6920
692	15570	6897
693	15592	6875
694	15613	6851
695	15635	6829
696	15656	6806
697	15678	6783
698	15700	6760
699	15722	6738
700	15744	6715
701	15766	6692
702	15788	6670
703	15808	6646
704	15830	6624
705	15856	6603
706	15880	6581
707	15903	6559
708	15925	6536
709	15947	6513
710	15968	6490
711	15990	6467
712	16010	6444
713	16033	6422
714	16056	6399
715	16076	6376
716	16096	6353
717	16117	6330
718	16140	6308
719	16160	6284
720	16181	6261
721	16202	6238
722	16223	6215
723	16244	6192
724	16267	6170
725	16290	6148
726	16312	6125
727	16331	6101
728	16353	6079
729	16374	6056
730	16394	6033
731	16416	6010
732	16439	5988
733	16462	5965
734	16482	5942
735	16505	5920
736	16526	5897
737	16549	5875
738	16573	5853
739	16595	5830
740	16616	5807
741	16637	5785
742	16659	5762
743	16681	5739
744	16703	5717
745	16724	5694
746	16745	5671
747	16768	5649
748	16790	5626
749	16813	5604
750	16839	5583
751	16860	5560
752	16883	5538
753	16906	5515
754	16930	5493
755	16952	5471
756	16974	5448
757	16995	5426
758	17016	5403
759	17036	5380
760	17059	5357
761	17080	5334
762	17106	5313
763	17127	5290
764	17150	5268
765	17170	5245
766	17193	5223
767	17213	5199
768	17234	5177
769	17259	5155
770	17280	5132
771	17301	5109
772	17322	5086
773	17344	5064
774	17367	5042
775	17390	5019
776	17411	4997
777	17432	4974
778	17455	4951
779	17475	4928
780	17495	4905
781	17516	4883
782	17539	4860
783	17559	4837
784	17581	4815
785	17603	4792
786	17623	4769
787	17645	4747
788	17669	4725
789	17691	4702
790	17712	4680
791	17733	4657
792	17757	4635
793	17780	4613
794	17799	4589
795	17823	4567
796	17847	4545
797	17868	4523
798	17888	4500
799	17909	4477
800	17931	4454
801	17955	4432
802	17975	4410
803	17997	4387
804	18018	4364
805	18038	4341
806	18059	4319
807	18083	4297
808	18106	4274
809	18128	4252
810	18149	4229
811	18170	4207
812	18192	4184
