iter	Logloss
0	0.6205726614
1	0.5534849742
2	0.5078914597
3	0.4631362902
4	0.427500644
5	0.396814802
6	0.3771181652
7	0.3593623807
8	0.342859555
9	0.3255057234
10	0.3113092
11	0.2962197843
12	0.28591148
13	0.2761055653
14	0.2658524536
15	0.2554415153
16	0.2459562589
17	0.2395245795
18	0.2322592659
19	0.2287938735
20	0.2237784517
21	0.2189201581
22	0.2150026841
23	0.2098281002
24	0.2062942471
25	0.2021420806
26	0.1986808463
27	0.1955708422
28	0.1929435764
29	0.1895541445
30	0.1860677986
31	0.1827614255
32	0.179886831
33	0.1776918711
34	0.1759333897
35	0.1723732093
36	0.1701537916
37	0.1692382289
38	0.168254271
39	0.1662323669
40	0.1646055277
41	0.1639307951
42	0.1629227006
43	0.1618612092
44	0.1583956784
45	0.1566141436
46	0.15446026
47	0.1535750456
48	0.1525708136
49	0.1521367049
50	0.1515819061
51	0.1506504287
52	0.149560565
53	0.1489054478
54	0.1481630565
55	0.1469992605
56	0.1462733446
57	0.145200676
58	0.144735897
59	0.1440178356
60	0.1436272606
61	0.1433485253
62	0.1430637498
63	0.1425689163
64	0.1414518056
65	0.1410697033
66	0.1406763821
67	0.1404413893
68	0.1394172374
69	0.139113732
70	0.1387281045
71	0.1380990947
72	0.1378242594
73	0.1376300454
74	0.1374088849
75	0.1370043349
76	0.1365720777
77	0.1358993529
78	0.1355748146
79	0.1352331259
80	0.1343750548
81	0.1340431946
82	0.1337177208
83	0.1335291558
84	0.1333686864
85	0.1331796127
86	0.132890737
87	0.1326568586
88	0.1325292073
89	0.1318869453
90	0.1316863967
91	0.1314898543
92	0.1313004082
93	0.1308448937
94	0.1306770466
95	0.1302445426
96	0.130032102
97	0.129460553
98	0.1293585427
99	0.1290953987
100	0.1288297574
101	0.1286626278
102	0.1285924199
103	0.1283584206
104	0.1279924715
105	0.1279135009
106	0.127779168
107	0.1275986585
108	0.1274460135
109	0.1273187539
110	0.1270257553
111	0.1266014294
112	0.1265153027
113	0.1264230476
114	0.1258145966
115	0.1256917495
116	0.1254754658
117	0.1251794787
118	0.1248222917
119	0.1244964832
120	0.124293791
121	0.1241712367
122	0.1240350358
123	0.123925507
124	0.1238348817
125	0.1237159746
126	0.1235584692
127	0.123330688
128	0.1231697339
129	0.1230495044
130	0.1226472856
131	0.1225529797
132	0.1223617845
133	0.1222559985
134	0.1221456373
135	0.1220358806
136	0.1219567841
137	0.1218296814
138	0.1216743496
139	0.121459535
140	0.1212347808
141	0.1210540976
142	0.1209470119
143	0.1208335617
144	0.1206522881
145	0.1205742406
146	0.1204742921
147	0.1202867407
